,breed,color,id,male,species,name
18618,Domestic Shorthair Mix,Torbie,A689082,0.0,Cat,Boo
18620,Domestic Shorthair Mix,Brown Tabby,A689084,0.0,Cat,None
18621,Domestic Shorthair Mix,Orange Tabby,A689086,1.0,Cat,None
18624,Ragdoll Mix,Seal Point,A689089,1.0,Cat,None
18627,Maine Coon Mix,Brown Tabby/White,A689092,1.0,Cat,None
18628,Domestic Shorthair Mix,Brown Tabby/White,A689093,0.0,Cat,None
18629,Domestic Shorthair Mix,Orange Tabby,A689094,1.0,Cat,None
18630,Domestic Shorthair Mix,Blue,A689095,0.0,Cat,None
18631,Domestic Shorthair Mix,Tortie,A689097,0.0,Cat,None
18632,Domestic Shorthair Mix,Black,A689098,1.0,Cat,Phantom
18638,Domestic Shorthair Mix,Brown Tabby/White,A689107,1.0,Cat,Toba
18639,Domestic Shorthair Mix,Black/White,A689110,1.0,Cat,None
18641,Himalayan Mix,Flame Point,A689108,0.0,Cat,Andromeda
18647,Domestic Shorthair Mix,Black,A689112,0.0,Cat,Magnolia
18653,Domestic Shorthair Mix,Brown Tabby,A689130,0.0,Cat,None
18655,Domestic Shorthair Mix,Orange Tabby,A689132,1.0,Cat,Ares
18656,Domestic Shorthair Mix,Orange Tabby,A689133,1.0,Cat,Farley
18657,Domestic Shorthair Mix,Tortie,A689134,0.0,Cat,None
18658,Domestic Shorthair Mix,Tortie,A689135,0.0,Cat,None
18659,Domestic Shorthair Mix,Orange Tabby,A689136,1.0,Cat,Meow
18660,Domestic Shorthair Mix,Orange Tabby,A689137,1.0,Cat,Peppermint
18661,Domestic Shorthair Mix,Tortie,A689139,0.0,Cat,None
18662,Siamese Mix,Blue Point,A689138,0.0,Cat,None
18670,Domestic Shorthair Mix,Tortie/Calico,A689146,0.0,Cat,None
18673,Siamese Mix,Blue Point,A689154,1.0,Cat,Cobalt
18674,Domestic Shorthair Mix,Blue Tabby,A689157,1.0,Cat,Azul
18675,Domestic Shorthair Mix,Blue,A689158,0.0,Cat,Indigo
18676,Domestic Shorthair Mix,Blue/White,A689159,0.0,Cat,Periwinkle
18677,Domestic Shorthair Mix,Blue Tabby/White,A689155,0.0,Cat,Sparkly
18678,Domestic Shorthair Mix,Blue Tabby/White,A689156,0.0,Cat,Christy
18684,Domestic Shorthair Mix,Black,A689162,0.0,Cat,None
18685,Domestic Shorthair Mix,Orange Tabby/White,A689168,0.0,Cat,None
18686,Domestic Shorthair Mix,Orange Tabby,A689169,0.0,Cat,None
18687,Domestic Shorthair Mix,Orange Tabby,A689170,0.0,Cat,None
18688,Domestic Shorthair Mix,Orange Tabby,A689171,1.0,Cat,None
18689,Domestic Shorthair Mix,Orange Tabby,A689172,1.0,Cat,None
18690,Domestic Shorthair Mix,Orange Tabby,A689173,1.0,Cat,None
18702,Domestic Shorthair Mix,Blue Tabby/White,A689192,1.0,Cat,None
18703,Domestic Shorthair Mix,Blue Tabby,A689193,1.0,Cat,None
18707,Domestic Shorthair Mix,Torbie,A689196,0.0,Cat,Asma
18708,Domestic Shorthair Mix,Brown Tabby,A689197,1.0,Cat,Leo
18709,Domestic Shorthair Mix,Torbie/White,A689198,0.0,Cat,Kit Kat
18710,Domestic Shorthair Mix,Black,A689199,0.0,Cat,Snickers
18714,Domestic Shorthair Mix,White/Brown Tabby,A689208,1.0,Cat,None
18721,Domestic Shorthair Mix,Tortie,A689221,0.0,Cat,None
18722,Domestic Shorthair Mix,Orange Tabby,A689222,1.0,Cat,None
18724,Domestic Medium Hair Mix,Brown Tabby,A689225,0.0,Cat,None
18726,Domestic Shorthair Mix,Orange Tabby,A689227,0.0,Cat,None
18737,Domestic Shorthair Mix,Black,A689253,1.0,Cat,Spider Man
18738,Domestic Shorthair Mix,Brown Tabby,A689246,0.0,Cat,Lori
18739,Domestic Shorthair Mix,Brown Tabby,A689255,0.0,Cat,Spider Woman
18740,Domestic Longhair Mix,Torbie,A689252,0.0,Cat,Emerald
18741,Domestic Shorthair Mix,Torbie,A689254,0.0,Cat,Amenia
18742,Maine Coon Mix,Torbie,A689244,0.0,Cat,Cass
18745,Domestic Shorthair Mix,Brown Tabby/White,A689248,1.0,Cat,Jack
18746,Domestic Shorthair Mix,Brown Tabby/White,A689249,0.0,Cat,Janet
18747,Domestic Shorthair Mix,Calico,A689247,0.0,Cat,None
18748,Domestic Shorthair Mix,Brown Tabby,A689250,0.0,Cat,Chrissy
18751,Domestic Shorthair Mix,Calico/Black,A689265,0.0,Cat,Scratch
18754,Domestic Shorthair Mix,Black,A689258,0.0,Cat,None
18755,Domestic Shorthair Mix,Brown Tabby,A689259,1.0,Cat,None
18761,Domestic Shorthair Mix,Brown Tabby,A689266,0.0,Cat,Casey
18762,Domestic Shorthair Mix,Black/White,A689267,1.0,Cat,None
18763,Domestic Shorthair Mix,Black/White,A689268,1.0,Cat,None
18767,Domestic Shorthair Mix,Black,A689274,1.0,Cat,Giblet
18768,Domestic Shorthair Mix,Black/White,A689277,1.0,Cat,Riblet
18769,Domestic Shorthair Mix,Black/White,A689276,1.0,Cat,Stewart
18770,Domestic Medium Hair Mix,Black/White,A689273,0.0,Cat,Onyx
18771,Domestic Shorthair Mix,Black,A689275,1.0,Cat,Niblet
18772,Domestic Shorthair Mix,Black,A689272,0.0,Cat,Raven
18780,Domestic Shorthair Mix,Brown Tabby/White,A689295,1.0,Cat,Shakespeare
18786,Siamese Mix,Lynx Point,A689305,1.0,Cat,Monte
18787,Persian Mix,Blue Tabby,A689306,0.0,Cat,Vera
18789,Domestic Shorthair Mix,Black,A689313,0.0,Cat,Roxanne
18790,Domestic Shorthair Mix,Black/White,A689315,1.0,Cat,Bibie
18791,Domestic Shorthair Mix,Black,A689316,1.0,Cat,Willie
18801,Domestic Shorthair Mix,Orange Tabby,A689328,1.0,Cat,Mason
18816,Domestic Longhair Mix,Brown Tabby,A689348,0.0,Cat,Maggie
18817,Domestic Shorthair Mix,Black,A689340,1.0,Cat,Rick
18818,Domestic Longhair Mix,Orange Tabby,A689347,1.0,Cat,Glen
18819,Siamese Mix,Tortie Point,A689349,0.0,Cat,Michonne
18820,Domestic Medium Hair Mix,Orange Tabby/White,A689346,1.0,Cat,Daryl
18822,Domestic Shorthair Mix,Black,A689354,0.0,Cat,Jo
18823,Domestic Shorthair Mix,Black,A689355,1.0,Cat,Watson
18824,Domestic Shorthair Mix,Black,A641048,1.0,Cat,Blacky
18830,Domestic Shorthair Mix,Tortie,A689370,0.0,Cat,Spicey
18832,Domestic Shorthair Mix,Brown Tabby,A689371,,Cat,None
18834,Domestic Shorthair Mix,Brown Tabby/White,A689374,1.0,Cat,Kelly
18835,Siamese Mix,Flame Point,A689373,1.0,Cat,Tre
18847,Domestic Shorthair Mix,Black/White,A689391,1.0,Cat,None
18850,Domestic Shorthair Mix,Orange,A689392,1.0,Cat,None
18863,Domestic Shorthair Mix,Black,A689402,0.0,Cat,None
18864,Domestic Shorthair Mix,Black,A689404,1.0,Cat,Mickey
18865,Domestic Shorthair Mix,Calico,A689403,0.0,Cat,None
18866,Domestic Shorthair Mix,Black/White,A689408,0.0,Cat,Gypsy
18869,Domestic Longhair Mix,Black,A591420,0.0,Cat,Bella
18872,Domestic Shorthair Mix,Brown Tabby/White,A689412,0.0,Cat,None
18875,Domestic Shorthair Mix,Blue Tabby/White,A689414,,Cat,None
18876,Domestic Shorthair Mix,Black/White,A689417,1.0,Cat,Franky
