Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A665220,,10/15/2013,12:23PM,4404 Imperial in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Tricolor
A665221,,10/15/2013,12:30PM,4404 Imperial in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown/Black
A613821,*Rosie,10/15/2013,12:31PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White
A665223,Boss,10/15/2013,12:33PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Golden Retriever,Gold/Buff
A665224,Jet,10/15/2013,12:33PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Flat Coat Retriever Mix,Black/White
A665225,,10/15/2013,12:37PM,3006 Castro St in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Pug Mix,Brown/Black
A665226,,10/15/2013,12:37PM,3006 Castro St in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Pug Mix,Brown/Black
A665229,Maya,10/15/2013,1:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Tortie
A665228,*Guthrie,10/15/2013,1:39PM,N Lamar And Ferguson in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Labrador Retriever Mix,Yellow
A665231,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,1 month,Australian Kelpie Mix,Tricolor
A665232,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,1 month,Australian Kelpie Mix,Tricolor
A665233,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,1 month,Australian Kelpie Mix,Tricolor
A665235,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,1 month,Australian Kelpie Mix,Tricolor
A665236,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,1 month,Australian Kelpie Mix,Tricolor
A665237,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,1 month,Australian Kelpie Mix,Sable/White
A665238,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,1 month,Australian Kelpie Mix,Sable/White
A665239,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,1 month,Australian Kelpie Mix,Tricolor
A665240,,10/15/2013,2:08PM,Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,1 month,Australian Kelpie Mix,Sable/White
A665230,Marley,10/15/2013,2:35PM,7101 W. 71 Oak Hill Vet Clinic in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Yellow
A665234,Salsa,10/15/2013,2:42PM,7500 S. Pleasant Valley in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Alaskan Husky Mix,White
A665241,*Leo,10/15/2013,2:51PM,5106 Village Square in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue
A665244,Latte,10/15/2013,2:56PM,Austin (TX),Euthanasia Request,Aged,Dog,Neutered Male,13 years,Miniature Poodle Mix,Brown
A665245,*Joey,10/15/2013,3:37PM,Blake Manor And Burlson Manor in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Queensland Heeler Mix,Blue Tick/Black
A665246,Alex,10/15/2013,3:56PM,6201 Sneed Cove in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A665247,,10/15/2013,4:06PM,7737 Yaupon Dr. in Travis (TX),Wildlife,Sick,Other,Unknown,1 year,Skunk Mix,Black/White
A665249,Lady,10/15/2013,4:34PM,1705 Frontier Valley 8208 in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan/White
A665250,Sugar,10/15/2013,4:42PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Pit Bull Mix,White
A665251,Fayah,10/15/2013,4:42PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,Pit Bull Mix,Brown/Tricolor
A665252,,10/15/2013,5:03PM,Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A665254,,10/15/2013,5:09PM,2321 E Cesar Chavez St in Austin (TX),Stray,Normal,Other,Unknown,1 year,Rabbit Sh,Black Brindle
A656760,Jessie,10/15/2013,5:10PM,6607 Brodie Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate
A665195,Bella,10/15/2013,5:25PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
A665256,Jerry,10/15/2013,5:25PM,Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A665255,,10/15/2013,5:26PM,715 8Th St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A662461,Wednesday,10/15/2013,5:48PM,S 5Th St And Cardinal in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Border Collie Mix,Black/White
A665258,*Birdie,10/15/2013,5:52PM,7200 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Snowshoe Mix,Seal Point
A665259,,10/15/2013,5:52PM,7200 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Black
A665260,,10/15/2013,5:52PM,7200 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
A665261,Duke,10/15/2013,5:52PM,7200 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black Tabby
A665262,Prince,10/15/2013,5:52PM,7200 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A665263,Max,10/15/2013,5:55PM,Montopolis Dr/El Mirando St in Austin (TX),Stray,Injured,Dog,Intact Male,2 months,Labrador Retriever Mix,Black
A665268,,10/15/2013,6:08PM,3711 Caldwell Ln in Travis (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby
A665285,Tabby,10/15/2013,6:19PM,4807 Airport Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
A665274,Rusty,10/15/2013,6:32PM,Mopac/Slaughter Ln in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,German Shepherd Mix,Brown
A665280,,10/15/2013,6:40PM,911 Capitol Court in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White
A665283,*Rosie,10/15/2013,6:40PM,911 Capitol Court in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A665284,Kurt,10/15/2013,6:40PM,911 Capitol Court in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A665277,Coco,10/15/2013,6:42PM,Finsburys Dr/Lynnbrook Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Rat Terrier Mix,Tricolor
A665278,,10/15/2013,6:49PM,8220 West Highway 71 Lot 279A in Austin (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Tortie
A665281,Marley,10/15/2013,6:52PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,White
A665291,,10/16/2013,7:59AM,North Ec Research Blvd in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair Mix,Gray
A665292,,10/16/2013,7:59AM,North Ec Research Blvd in Austin (TX),Stray,Nursing,Cat,Intact Male,0 years,Domestic Shorthair Mix,Cream
A665293,*Shadow,10/16/2013,8:18AM,4434 Frontier Trl in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Kelpie Mix,Black
A665297,,10/16/2013,10:45AM,6001 Perlita Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A665298,,10/16/2013,10:45AM,6001 Perlita Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A665299,,10/16/2013,10:45AM,6001 Perlita Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
A665300,,10/16/2013,10:45AM,6001 Perlita Dr in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Blue
A664664,Izzy,10/16/2013,10:57AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pug Mix,Fawn
A665302,Barrett,10/16/2013,11:08AM,8600 Brodie Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Rhod Ridgeback Mix,Red
A625400,Chuy,10/16/2013,11:08AM,1709 Hwy 71 in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
A665303,,10/16/2013,11:19AM,614 S 1St St in Austin (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Black/White
A665304,Flynn,10/16/2013,11:23AM,Orleans And Willima Cannon in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Newfoundland/Australian Cattle Dog,Black/White
A665305,Sailor,10/16/2013,11:40AM,2401 Lakeshore in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A665306,,10/16/2013,11:42AM,Austin (TX),Stray,Injured,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black/White
A665307,*Johnny,10/16/2013,11:42AM,Cameron Rd/Blue Goose Rd in Austin (TX),Stray,Injured,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
A665310,*So,10/16/2013,12:00PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A665311,*Piglet,10/16/2013,12:00PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A665312,*Kanga,10/16/2013,12:00PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A665309,*Helio,10/16/2013,12:02PM,8204 Colony Loop in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Australian Shepherd Mix,White/Orange
A665308,,10/16/2013,12:02PM,8204 Colony Loop in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Toy Poodle Mix,White
A665313,Leeloo,10/16/2013,12:25PM,Wideleaf Dr/Wideleaf Cv in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Brittany Mix,Chocolate/White
A665314,*Luke,10/16/2013,12:31PM,2621 Ridgepoint Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A664913,Duke,10/16/2013,12:32PM,Travis (TX),Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White
A665315,,10/16/2013,12:46PM,Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund/Parson Russell Terrier,White/Blue Merle
A641317,*Grace,10/16/2013,1:11PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Collie Smooth/Golden Retriever,Red/White
A664815,Lady,10/16/2013,1:13PM,7402 Crystalbrook in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tan/White
A665317,,10/16/2013,1:20PM,2400 Nueces in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A665318,*Hubert,10/16/2013,1:23PM,Howard And Dessau in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Brown Tabby/White
A665319,Oberon,10/16/2013,1:32PM,Fairfield Dr/N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Anatol Shepherd Mix,Tan/White
A665322,Damon,10/16/2013,2:04PM,3351 Killingsworth Ln in Pflugerville (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever,Chocolate
A665325,,10/16/2013,2:39PM,Teri Rd/S Pleasant Valley Dr in Austin (TX),Stray,Sick,Dog,Intact Female,3 months,Pit Bull Mix,Black/White
A665326,*Sampson,10/16/2013,3:04PM,7007 Brook Valley Circle in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,White/Brown Brindle
A665335,,10/16/2013,3:33PM,2308 E Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,White
A665257,Dillon,10/16/2013,3:37PM,Austin (TX),Public Assist,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Black
A589272,Keishla,10/16/2013,3:39PM,3717 N. Fm 620 in Travis (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White
A665342,Bleu,10/16/2013,3:42PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 months,Chesa Bay Retr Mix,Chocolate/White
A665341,,10/16/2013,3:46PM,1100 Mearns Meadow in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund Mix,Red
A665343,,10/16/2013,3:46PM,1100 Mearns Meadow in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund Mix,Red
A665344,Ginger,10/16/2013,3:46PM,1100 Mearns Meadow in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Red/White
A665348,,10/16/2013,4:04PM,9003 Wellesley in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A655661,Maxi,10/16/2013,4:25PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 months,Boxer Mix,Brown/White
A663889,Bejon,10/16/2013,4:29PM,E Oltorf St/Burleson Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever/Beauceron,Black/Tan
A665351,,10/16/2013,4:37PM,W Slaughter Ln/S Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Australian Cattle Dog Mix,Red Merle
A665352,,10/16/2013,4:37PM,W Slaughter Ln/S Congress Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Port Water Dog Mix,Black/Gray
A665350,Cashew,10/16/2013,5:04PM,14516 Spearmint Tea Trl in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,1 year,American Bulldog Mix,White/Black
A665354,Eric,10/16/2013,5:12PM,6201 Sneed Cv in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A665355,,10/16/2013,5:17PM,7000 Areis Ln in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Collie Smooth Mix,Black/White
A665356,,10/16/2013,5:17PM,6407 Springdale in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Yorkshire Terrier/Cairn Terrier,Tan/White
A665357,The Admiral,10/16/2013,5:30PM,7112 Ed Bluestein Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Redbone Hound/Labrador Retriever,Red/White
A665358,Bevo,10/16/2013,5:30PM,7112 Ed Bluestein Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Redbone Hound/Labrador Retriever,Brown/White
A665365,Mariposa,10/16/2013,5:39PM,5113 Park At Woodland Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,White
A665361,*Jock,10/16/2013,5:48PM,911 Capitol Ct in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A665362,*Jezzy,10/16/2013,5:48PM,911 Capitol Ct in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A665366,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Labrador Retriever Mix,Cream
A665367,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Labrador Retriever Mix,Cream
A665368,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Labrador Retriever Mix,Cream
A665369,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Labrador Retriever Mix,Cream
A665370,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Labrador Retriever Mix,Sable
A665371,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Labrador Retriever Mix,Black/White
A665372,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 week,Labrador Retriever Mix,Black/White
A665373,,10/16/2013,5:56PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 week,Labrador Retriever Mix,Black/White
A665374,*Nelson,10/16/2013,6:17PM,13400 Vizquel Loop in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,American Bulldog Mix,Brown Brindle/White
A665376,,10/16/2013,7:08PM,Travy Lynn in Austin (TX),Stray,Injured,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/White
A661788,Taz,10/16/2013,9:37PM,7400 Geneva in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A661789,Tank,10/16/2013,9:37PM,7400 Geneva in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A664943,*Leo,10/17/2013,11:05AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
A665383,Indica,10/17/2013,11:22AM,Westgate Blvd And Brodie Ln in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,German Shepherd Mix,Black/Tan
A665385,Oliver,10/17/2013,11:31AM,5200 Woodland Oaks Ct in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle Mix,Gray
A665386,,10/17/2013,11:31AM,5200 Woodland Oaks Ct in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair/Rat Terrier,White/Black
A655608,Neron,10/17/2013,11:41AM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Blue/Cream
A665387,,10/17/2013,11:47AM,Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A665388,,10/17/2013,11:47AM,Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Cream Tabby
A665391,*Maybelle,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby/White
A665394,*Juno,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,9 months,Domestic Shorthair Mix,Brown Tabby/White
A665395,*Hawkeye,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,White/Black
A665396,*Trapperjohn,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
A665397,*Betty,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
A665398,Haven,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Blue
A665399,*Barney,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A665400,*Freddie,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby
A665401,*Bam Bam,10/17/2013,12:26PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White
A665392,Boo,10/17/2013,12:35PM,Piedras Blanco in Austin (TX),Stray,Other,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A665406,Pumpkin,10/17/2013,12:35PM,Piedras Blanco in Austin (TX),Stray,Other,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A665407,Candy,10/17/2013,12:35PM,Piedras Blanco in Austin (TX),Stray,Other,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A665408,Trick,10/17/2013,12:35PM,Piedras Blanco in Austin (TX),Stray,Other,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A665409,Treat,10/17/2013,12:35PM,Piedras Blanco in Austin (TX),Stray,Other,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
A665393,Maddie,10/17/2013,12:42PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Domestic Medium Hair Mix,Blue Tabby/White
A652387,Rocky,10/17/2013,12:43PM,1148 Mason in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Cardigan Welsh Corgi/Pit Bull,Tan/White
A568980,Polly,10/17/2013,1:12PM,904 E Braker Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Blue Lacy Mix,Tan
A665404,Bella,10/17/2013,1:12PM,904 E Braker Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Boxer Mix,Brown/White
A665403,Spark,10/17/2013,1:18PM,2308 Dove Springs in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Yellow
A665405,Max,10/17/2013,1:33PM,Spicewood Springs And 183 in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A652505,Sheba,10/17/2013,2:10PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Black
A665410,Mickey,10/17/2013,2:13PM,Pleasant Valley And Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Boston Terrier Mix,Black Brindle/White
A665413,Anabel,10/17/2013,2:13PM,Pleasant Valley And Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Plott Hound Mix,Brown Brindle/White
A665411,Aquiles,10/17/2013,2:23PM,4604 Magin Myrtle in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Pit Bull Mix,Fawn/Blue
A662774,Misty,10/17/2013,2:25PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 months,Labrador Retriever/German Shepherd,Brown/Black
A665412,Moebius,10/17/2013,2:33PM,8106 Brodie in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Miniature Poodle Mix,Black
A665414,Cactus,10/17/2013,2:40PM,8457 Sassman in Travis (TX),Stray,Normal,Dog,Intact Male,9 months,Australian Cattle Dog/German Shepherd,Blue Merle/Brown
A665416,,10/17/2013,3:18PM,Donna Jane Loop in Pflugerville (TX),Stray,Normal,Dog,Intact Female,2 months,Cairn Terrier Mix,Tan
A654413,Betsy,10/17/2013,4:16PM,Stassney/Congress in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Pit Bull Mix,Brown Brindle/White
A665421,Walter White,10/17/2013,4:35PM,Dove Springs Dr/Dove Ct in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle Mix,White
A665422,Hootie,10/17/2013,4:43PM,Wooten Park Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Dachshund Mix,Brown Brindle/White
A665423,,10/17/2013,4:46PM,Annie Oakly Trl/Doc Holliday Trl in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Black/Tan
A665424,Khaleesi,10/17/2013,4:53PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A665425,Collins,10/17/2013,4:53PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A665426,Silka,10/17/2013,4:53PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A665427,,10/17/2013,4:56PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue
A665428,,10/17/2013,4:56PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black
A665429,*Gilligan,10/17/2013,5:07PM,Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black/White
A665432,,10/17/2013,6:10PM,700 Lavaca in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A665435,,10/17/2013,6:41PM,2306 Wickersham Ln in Austin (TX),Wildlife,Sick,Other,Unknown,6 months,Raccoon Mix,Brown
A665438,Charley,10/17/2013,6:49PM,615 W. Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Golden Retriever/Border Collie,Gold/White
A665440,Manny,10/17/2013,6:53PM,Jollyville/Oak Knoll in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown
A565188,Dora,10/17/2013,6:53PM,Jollyville/Oak Knoll in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Pug,Black
A665441,*Emmie,10/17/2013,7:11PM,134 Edgerock Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,Black/White
A665444,,10/18/2013,8:04AM,Austin (TX),Stray,Injured,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A665445,Max,10/18/2013,8:19AM,183 in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Brown/Black
A665446,*Dexter,10/18/2013,8:19AM,Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A665447,*Hubble,10/18/2013,8:19AM,Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A665453,*Topher,10/18/2013,10:40AM,290/ Cameron Rd in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,German Shepherd/Nova Scotia Duck Tolling Retriever,Tan/Black
A665460,Sasha,10/18/2013,11:08AM,N San Marcos St in Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,1 month,Australian Cattle Dog/Australian Shepherd,Brown Merle/White
A665461,,10/18/2013,11:08AM,N San Marcos St in Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,1 month,Australian Cattle Dog/Australian Shepherd,Brown
A665462,,10/18/2013,11:08AM,N San Marcos St in Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,1 month,Australian Cattle Dog/Australian Shepherd,Blue Merle/Black
A665458,Nena,10/18/2013,11:23AM,6212 Boxcar Run in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Blue/White
A665459,Beau,10/18/2013,11:28AM,Canterbury Trails Subdivision in Austin (TX),Stray,Normal,Dog,Neutered Male,5 months,Australian Cattle Dog/Anatol Shepherd,White/Tan
A665467,,10/18/2013,11:49AM,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Blue
A665468,*Steve,10/18/2013,11:49AM,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
A665469,*Meek,10/18/2013,11:49AM,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
