Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A686231,Echo,08/18/2014,6:16PM,15771 Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,German Shepherd Mix,Black/Tan
A686232,,08/18/2014,6:16PM,15771 Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Carolina Dog Mix,Tan/White
A686233,Marvin,08/18/2014,6:24PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White
A503335,Bruce,08/18/2014,6:50PM,5108 Mcdade Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Wire Hair Fox Terrier/Golden Retriever,Black/Tan
A686235,Razz,08/18/2014,6:54PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A686237,Haven,08/18/2014,6:54PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby/White
A661313,Lily,08/18/2014,10:50PM,5811 Whitebrook Dr. in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle/White
A686244,,08/18/2014,11:10PM,305 S.  Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,5 months,Bat Mix,Brown
A686245,,08/19/2014,7:08AM,Westmister /Waterbrook in Austin (TX),Stray,Injured,Cat,Intact Female,8 years,Domestic Shorthair Mix,Brown Tabby/Black
A620031,Sadie Gray,08/19/2014,7:08AM,11900 Stonehollow #323 in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Pointer/Catahoula,Blue Merle
A686253,Money,08/19/2014,10:19AM,4605 Atlantis in Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/Black
A686254,*Ed,08/19/2014,10:41AM,9345 E Hwy 290 in Austin (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby
A686257,*Milo,08/19/2014,10:52AM,7137 Walkup Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/Brown
A686256,*Oscar,08/19/2014,11:02AM,4550 Mueller Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Sable
