,id,name,outcome_type,outcome_detail,species,age,breed,color,datetime,fixed,male
61,A689144,Kelly,Transfer,Partner,Dog,2.0,Labrador Retriever Mix,Brown/White,2014-10-02 14:35:00,0.0,0.0
62,A689234,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Brown/Black,2014-10-02 14:36:00,,
63,A689239,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Sable,2014-10-02 14:36:00,,
64,A689237,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Black/Brown,2014-10-02 14:36:00,,
65,A689238,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Sable/Brown,2014-10-02 14:36:00,,
66,A689235,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Black/White,2014-10-02 14:36:00,,
67,A689236,None,Transfer,Partner,Dog,0.0027397260274,Labrador Retriever Mix,Black/White,2014-10-02 14:36:00,,
68,A688671,Dobby,Transfer,Partner,Dog,0.164383561644,Labrador Retriever Mix,Black/White,2014-10-02 14:39:00,1.0,0.0
69,A688673,None,Transfer,Partner,Dog,0.164383561644,Labrador Retriever Mix,Black/White,2014-10-02 14:40:00,1.0,1.0
70,A688664,None,Transfer,Partner,Dog,0.164383561644,Labrador Retriever,Black,2014-10-02 14:40:00,1.0,0.0
71,A688667,None,Transfer,Partner,Dog,0.164383561644,Labrador Retriever Mix,Black,2014-10-02 14:40:00,1.0,0.0
72,A688719,Hank,Adoption,None,Dog,1.0,Dachshund Longhair/Chihuahua Shorthair,Tan/White,2014-10-02 15:20:00,1.0,1.0
73,A688972,Spunky,Adoption,None,Dog,1.0,Rat Terrier/Chihuahua Shorthair,White/Black,2014-10-02 15:29:00,1.0,1.0
74,A673394,Maya,Euthanasia,Suffering,Dog,5.0,Pit Bull Mix,Brown Brindle/White,2014-10-02 15:58:00,1.0,0.0
75,A682183,Roger Roger,Return to Owner,None,Dog,2.0,Pit Bull Mix,Blue/White,2014-10-02 16:10:00,1.0,1.0
76,A689061,None,Transfer,Partner,Dog,0.41095890411,Cardigan Welsh Corgi/Chihuahua Shorthair,Buff,2014-10-02 16:14:00,0.0,1.0
77,A689112,Magnolia,Return to Owner,None,Cat,12.0,Domestic Shorthair Mix,Black,2014-10-02 16:57:00,1.0,0.0
78,A689028,Sparky,Transfer,Partner,Dog,5.0,Chihuahua Shorthair,Sable,2014-10-02 18:07:00,1.0,1.0
79,A689008,Brooklyn,Transfer,Partner,Dog,1.0,Dogo Argentino Mix,White,2014-10-02 18:14:00,0.0,0.0
80,A689189,Charlie,Return to Owner,None,Dog,2.0,Chihuahua Shorthair,Brown/White,2014-10-02 18:42:00,1.0,1.0
81,A689251,Blue,Return to Owner,None,Dog,2.0,Pit Bull Mix,Blue/White,2014-10-02 18:45:00,1.0,1.0
82,A689371,None,Euthanasia,Suffering,Cat,0.0575342465753,Domestic Shorthair Mix,Brown Tabby,2014-10-03 08:33:00,,
83,A688787,None,Transfer,Partner,Dog,4.0,Labrador Retriever/Great Pyrenees,Buff,2014-10-03 11:02:00,1.0,1.0
84,A688648,Mick Jagger,Transfer,Partner,Dog,7.0,Chihuahua Longhair Mix,White/Brown,2014-10-03 11:37:00,0.0,1.0
85,A688506,Cane,Adoption,None,Dog,1.0,Dogo Argentino Mix,White,2014-10-03 12:40:00,1.0,1.0
